                 U calloc
0000000000371b30 T cblas_ccopy
0000000000371b30 T cblas_ccopy_
0000000000371b30 T CBLAS_CCOPY
00000000003713f0 T cblas_ccopy_64
00000000003713f0 T cblas_ccopy_64_
00000000003713f0 T CBLAS_CCOPY_64
0000000000371500 T cblas_ccopy_batch
0000000000371500 T cblas_ccopy_batch_
0000000000371500 T CBLAS_CCOPY_BATCH
0000000000371470 T cblas_ccopy_batch_64
0000000000371470 T cblas_ccopy_batch_64_
0000000000371470 T CBLAS_CCOPY_BATCH_64
0000000000371860 T cblas_ccopy_batch_strided
0000000000371860 T cblas_ccopy_batch_strided_
0000000000371860 T CBLAS_CCOPY_BATCH_STRIDED
00000000003717d0 T cblas_ccopy_batch_strided_64
00000000003717d0 T cblas_ccopy_batch_strided_64_
00000000003717d0 T CBLAS_CCOPY_BATCH_STRIDED_64
0000000000371e80 T cblas_cdgmm_batch
0000000000371e80 T cblas_cdgmm_batch_
0000000000371e80 T CBLAS_CDGMM_BATCH
0000000000371df0 T cblas_cdgmm_batch_64
0000000000371df0 T cblas_cdgmm_batch_64_
0000000000371df0 T CBLAS_CDGMM_BATCH_64
00000000003721e0 T cblas_cdgmm_batch_strided
00000000003721e0 T cblas_cdgmm_batch_strided_
00000000003721e0 T CBLAS_CDGMM_BATCH_STRIDED
0000000000372150 T cblas_cdgmm_batch_strided_64
0000000000372150 T cblas_cdgmm_batch_strided_64_
0000000000372150 T CBLAS_CDGMM_BATCH_STRIDED_64
0000000000372890 T cblas_cdotci_sub
0000000000372890 T cblas_cdotci_sub_
0000000000372890 T CBLAS_CDOTCI_SUB
0000000000372810 T cblas_cdotci_sub_64
0000000000372810 T cblas_cdotci_sub_64_
0000000000372810 T CBLAS_CDOTCI_SUB_64
0000000000372540 T cblas_cdotc_sub
0000000000372540 T cblas_cdotc_sub_
0000000000372540 T CBLAS_CDOTC_SUB
00000000003724b0 T cblas_cdotc_sub_64
00000000003724b0 T cblas_cdotc_sub_64_
00000000003724b0 T CBLAS_CDOTC_SUB_64
0000000000372cf0 T cblas_cdotui_sub
0000000000372cf0 T cblas_cdotui_sub_
0000000000372cf0 T CBLAS_CDOTUI_SUB
0000000000372c70 T cblas_cdotui_sub_64
0000000000372c70 T cblas_cdotui_sub_64_
0000000000372c70 T CBLAS_CDOTUI_SUB_64
00000000003729a0 T cblas_cdotu_sub
00000000003729a0 T cblas_cdotu_sub_
00000000003729a0 T CBLAS_CDOTU_SUB
0000000000372910 T cblas_cdotu_sub_64
0000000000372910 T cblas_cdotu_sub_64_
0000000000372910 T CBLAS_CDOTU_SUB_64
0000000000372e00 T cblas_cgbmv
0000000000372e00 T cblas_cgbmv_
0000000000372e00 T CBLAS_CGBMV
0000000000372d70 T cblas_cgbmv_64
0000000000372d70 T cblas_cgbmv_64_
0000000000372d70 T CBLAS_CGBMV_64
0000000000374240 T cblas_cgemm
0000000000374240 T cblas_cgemm_
0000000000374240 T CBLAS_CGEMM
0000000000373820 T cblas_cgemm3m
0000000000373820 T cblas_cgemm3m_
0000000000373820 T CBLAS_CGEMM3M
00000000003730d0 T cblas_cgemm3m_64
00000000003730d0 T cblas_cgemm3m_64_
00000000003730d0 T CBLAS_CGEMM3M_64
00000000003731f0 T cblas_cgemm3m_batch
00000000003731f0 T cblas_cgemm3m_batch_
00000000003731f0 T CBLAS_CGEMM3M_BATCH
0000000000373160 T cblas_cgemm3m_batch_64
0000000000373160 T cblas_cgemm3m_batch_64_
0000000000373160 T CBLAS_CGEMM3M_BATCH_64
0000000000373550 T cblas_cgemm3m_batch_strided
0000000000373550 T cblas_cgemm3m_batch_strided_
0000000000373550 T CBLAS_CGEMM3M_BATCH_STRIDED
00000000003734c0 T cblas_cgemm3m_batch_strided_64
00000000003734c0 T cblas_cgemm3m_batch_strided_64_
00000000003734c0 T CBLAS_CGEMM3M_BATCH_STRIDED_64
0000000000373af0 T cblas_cgemm_64
0000000000373af0 T cblas_cgemm_64_
0000000000373af0 T CBLAS_CGEMM_64
0000000000373c10 T cblas_cgemm_batch
0000000000373c10 T cblas_cgemm_batch_
0000000000373c10 T CBLAS_CGEMM_BATCH
0000000000373b80 T cblas_cgemm_batch_64
0000000000373b80 T cblas_cgemm_batch_64_
0000000000373b80 T CBLAS_CGEMM_BATCH_64
0000000000373f70 T cblas_cgemm_batch_strided
0000000000373f70 T cblas_cgemm_batch_strided_
0000000000373f70 T CBLAS_CGEMM_BATCH_STRIDED
0000000000373ee0 T cblas_cgemm_batch_strided_64
0000000000373ee0 T cblas_cgemm_batch_strided_64_
0000000000373ee0 T CBLAS_CGEMM_BATCH_STRIDED_64
00000000003745a0 T cblas_cgemmt
00000000003745a0 T cblas_cgemmt_
00000000003745a0 T CBLAS_CGEMMT
0000000000374510 T cblas_cgemmt_64
0000000000374510 T cblas_cgemmt_64_
0000000000374510 T CBLAS_CGEMMT_64
0000000000374fc0 T cblas_cgemv
0000000000374fc0 T cblas_cgemv_
0000000000374fc0 T CBLAS_CGEMV
0000000000374870 T cblas_cgemv_64
0000000000374870 T cblas_cgemv_64_
0000000000374870 T CBLAS_CGEMV_64
0000000000374990 T cblas_cgemv_batch
0000000000374990 T cblas_cgemv_batch_
0000000000374990 T CBLAS_CGEMV_BATCH
0000000000374900 T cblas_cgemv_batch_64
0000000000374900 T cblas_cgemv_batch_64_
0000000000374900 T CBLAS_CGEMV_BATCH_64
0000000000374cf0 T cblas_cgemv_batch_strided
0000000000374cf0 T cblas_cgemv_batch_strided_
0000000000374cf0 T CBLAS_CGEMV_BATCH_STRIDED
0000000000374c60 T cblas_cgemv_batch_strided_64
0000000000374c60 T cblas_cgemv_batch_strided_64_
0000000000374c60 T CBLAS_CGEMV_BATCH_STRIDED_64
0000000000375320 T cblas_cgerc
0000000000375320 T cblas_cgerc_
0000000000375320 T CBLAS_CGERC
0000000000375290 T cblas_cgerc_64
0000000000375290 T cblas_cgerc_64_
0000000000375290 T CBLAS_CGERC_64
0000000000375680 T cblas_cgeru
0000000000375680 T cblas_cgeru_
0000000000375680 T CBLAS_CGERU
00000000003755f0 T cblas_cgeru_64
00000000003755f0 T cblas_cgeru_64_
00000000003755f0 T CBLAS_CGERU_64
0000000000375ad0 T cblas_cgthr
0000000000375ad0 T cblas_cgthr_
0000000000375ad0 T CBLAS_CGTHR
0000000000375a50 T cblas_cgthr_64
0000000000375a50 T cblas_cgthr_64_
0000000000375a50 T CBLAS_CGTHR_64
0000000000375bd0 T cblas_cgthrz
0000000000375bd0 T cblas_cgthrz_
0000000000375bd0 T CBLAS_CGTHRZ
0000000000375b50 T cblas_cgthrz_64
0000000000375b50 T cblas_cgthrz_64_
0000000000375b50 T CBLAS_CGTHRZ_64
0000000000375ce0 T cblas_chbmv
0000000000375ce0 T cblas_chbmv_
0000000000375ce0 T CBLAS_CHBMV
0000000000375c50 T cblas_chbmv_64
0000000000375c50 T cblas_chbmv_64_
0000000000375c50 T CBLAS_CHBMV_64
0000000000376040 T cblas_chemm
0000000000376040 T cblas_chemm_
0000000000376040 T CBLAS_CHEMM
0000000000375fb0 T cblas_chemm_64
0000000000375fb0 T cblas_chemm_64_
0000000000375fb0 T CBLAS_CHEMM_64
00000000003763a0 T cblas_chemv
00000000003763a0 T cblas_chemv_
00000000003763a0 T CBLAS_CHEMV
0000000000376310 T cblas_chemv_64
0000000000376310 T cblas_chemv_64_
0000000000376310 T CBLAS_CHEMV_64
0000000000376e30 T cblas_cher
0000000000376e30 T cblas_cher_
0000000000376e30 T CBLAS_CHER
0000000000376700 T cblas_cher2
0000000000376700 T cblas_cher2_
0000000000376700 T CBLAS_CHER2
0000000000376670 T cblas_cher2_64
0000000000376670 T cblas_cher2_64_
0000000000376670 T CBLAS_CHER2_64
0000000000376a70 T cblas_cher2k
0000000000376a70 T cblas_cher2k_
0000000000376a70 T CBLAS_CHER2K
00000000003769d0 T cblas_cher2k_64
00000000003769d0 T cblas_cher2k_64_
00000000003769d0 T CBLAS_CHER2K_64
0000000000376d90 T cblas_cher_64
0000000000376d90 T cblas_cher_64_
0000000000376d90 T CBLAS_CHER_64
00000000003771f0 T cblas_cherk
00000000003771f0 T cblas_cherk_
00000000003771f0 T CBLAS_CHERK
0000000000377150 T cblas_cherk_64
0000000000377150 T cblas_cherk_64_
0000000000377150 T CBLAS_CHERK_64
00000000003775e0 T cblas_chpmv
00000000003775e0 T cblas_chpmv_
00000000003775e0 T CBLAS_CHPMV
0000000000377550 T cblas_chpmv_64
0000000000377550 T cblas_chpmv_64_
0000000000377550 T CBLAS_CHPMV_64
0000000000377cb0 T cblas_chpr
0000000000377cb0 T cblas_chpr_
0000000000377cb0 T CBLAS_CHPR
0000000000377940 T cblas_chpr2
0000000000377940 T cblas_chpr2_
0000000000377940 T CBLAS_CHPR2
00000000003778b0 T cblas_chpr2_64
00000000003778b0 T cblas_chpr2_64_
00000000003778b0 T CBLAS_CHPR2_64
0000000000377c10 T cblas_chpr_64
0000000000377c10 T cblas_chpr_64_
0000000000377c10 T CBLAS_CHPR_64
0000000000378db0 T cblas_crot
0000000000378db0 T cblas_crot_
0000000000378db0 T CBLAS_CROT
0000000000378d10 T cblas_crot_64
0000000000378d10 T cblas_crot_64_
0000000000378d10 T CBLAS_CROT_64
00000000003790d0 T cblas_crotg
00000000003790d0 T cblas_crotg_
00000000003790d0 T CBLAS_CROTG
00000000003793d0 T cblas_cscal
00000000003793d0 T cblas_cscal_
00000000003793d0 T CBLAS_CSCAL
0000000000379350 T cblas_cscal_64
0000000000379350 T cblas_cscal_64_
0000000000379350 T CBLAS_CSCAL_64
00000000003796d0 T cblas_csctr
00000000003796d0 T cblas_csctr_
00000000003796d0 T CBLAS_CSCTR
0000000000379650 T cblas_csctr_64
0000000000379650 T cblas_csctr_64_
0000000000379650 T CBLAS_CSCTR_64
00000000003797f0 T cblas_csrot
00000000003797f0 T cblas_csrot_
00000000003797f0 T CBLAS_CSROT
0000000000379750 T cblas_csrot_64
0000000000379750 T cblas_csrot_64_
0000000000379750 T CBLAS_CSROT_64
0000000000379bd0 T cblas_csscal
0000000000379bd0 T cblas_csscal_
0000000000379bd0 T CBLAS_CSSCAL
0000000000379b50 T cblas_csscal_64
0000000000379b50 T cblas_csscal_64_
0000000000379b50 T CBLAS_CSSCAL_64
0000000000379f10 T cblas_cswap
0000000000379f10 T cblas_cswap_
0000000000379f10 T CBLAS_CSWAP
0000000000379e90 T cblas_cswap_64
0000000000379e90 T cblas_cswap_64_
0000000000379e90 T CBLAS_CSWAP_64
000000000037a260 T cblas_csymm
000000000037a260 T cblas_csymm_
000000000037a260 T CBLAS_CSYMM
000000000037a1d0 T cblas_csymm_64
000000000037a1d0 T cblas_csymm_64_
000000000037a1d0 T CBLAS_CSYMM_64
000000000037a5c0 T cblas_csyr2k
000000000037a5c0 T cblas_csyr2k_
000000000037a5c0 T CBLAS_CSYR2K
000000000037a530 T cblas_csyr2k_64
000000000037a530 T cblas_csyr2k_64_
000000000037a530 T CBLAS_CSYR2K_64
000000000037afe0 T cblas_csyrk
000000000037afe0 T cblas_csyrk_
000000000037afe0 T CBLAS_CSYRK
000000000037a890 T cblas_csyrk_64
000000000037a890 T cblas_csyrk_64_
000000000037a890 T CBLAS_CSYRK_64
000000000037a9b0 T cblas_csyrk_batch
000000000037a9b0 T cblas_csyrk_batch_
000000000037a9b0 T CBLAS_CSYRK_BATCH
000000000037a920 T cblas_csyrk_batch_64
000000000037a920 T cblas_csyrk_batch_64_
000000000037a920 T CBLAS_CSYRK_BATCH_64
000000000037ad10 T cblas_csyrk_batch_strided
000000000037ad10 T cblas_csyrk_batch_strided_
000000000037ad10 T CBLAS_CSYRK_BATCH_STRIDED
000000000037ac80 T cblas_csyrk_batch_strided_64
000000000037ac80 T cblas_csyrk_batch_strided_64_
000000000037ac80 T CBLAS_CSYRK_BATCH_STRIDED_64
000000000037b340 T cblas_ctbmv
000000000037b340 T cblas_ctbmv_
000000000037b340 T CBLAS_CTBMV
000000000037b2b0 T cblas_ctbmv_64
000000000037b2b0 T cblas_ctbmv_64_
000000000037b2b0 T CBLAS_CTBMV_64
000000000037b6a0 T cblas_ctbsv
000000000037b6a0 T cblas_ctbsv_
000000000037b6a0 T CBLAS_CTBSV
000000000037b610 T cblas_ctbsv_64
000000000037b610 T cblas_ctbsv_64_
000000000037b610 T CBLAS_CTBSV_64
000000000037ba00 T cblas_ctpmv
000000000037ba00 T cblas_ctpmv_
000000000037ba00 T CBLAS_CTPMV
000000000037b970 T cblas_ctpmv_64
000000000037b970 T cblas_ctpmv_64_
000000000037b970 T CBLAS_CTPMV_64
000000000037bd60 T cblas_ctpsv
000000000037bd60 T cblas_ctpsv_
000000000037bd60 T CBLAS_CTPSV
000000000037bcd0 T cblas_ctpsv_64
000000000037bcd0 T cblas_ctpsv_64_
000000000037bcd0 T CBLAS_CTPSV_64
000000000037c0c0 T cblas_ctrmm
000000000037c0c0 T cblas_ctrmm_
000000000037c0c0 T CBLAS_CTRMM
000000000037c030 T cblas_ctrmm_64
000000000037c030 T cblas_ctrmm_64_
000000000037c030 T CBLAS_CTRMM_64
000000000037c420 T cblas_ctrmm_oop
000000000037c420 T cblas_ctrmm_oop_
000000000037c420 T CBLAS_CTRMM_OOP
000000000037c390 T cblas_ctrmm_oop_64
000000000037c390 T cblas_ctrmm_oop_64_
000000000037c390 T CBLAS_CTRMM_OOP_64
000000000037c780 T cblas_ctrmv
000000000037c780 T cblas_ctrmv_
000000000037c780 T CBLAS_CTRMV
000000000037c6f0 T cblas_ctrmv_64
000000000037c6f0 T cblas_ctrmv_64_
000000000037c6f0 T CBLAS_CTRMV_64
000000000037d1a0 T cblas_ctrsm
000000000037d1a0 T cblas_ctrsm_
000000000037d1a0 T CBLAS_CTRSM
000000000037ca50 T cblas_ctrsm_64
000000000037ca50 T cblas_ctrsm_64_
000000000037ca50 T CBLAS_CTRSM_64
000000000037cb70 T cblas_ctrsm_batch
000000000037cb70 T cblas_ctrsm_batch_
000000000037cb70 T CBLAS_CTRSM_BATCH
000000000037cae0 T cblas_ctrsm_batch_64
000000000037cae0 T cblas_ctrsm_batch_64_
000000000037cae0 T CBLAS_CTRSM_BATCH_64
000000000037ced0 T cblas_ctrsm_batch_strided
000000000037ced0 T cblas_ctrsm_batch_strided_
000000000037ced0 T CBLAS_CTRSM_BATCH_STRIDED
000000000037ce40 T cblas_ctrsm_batch_strided_64
000000000037ce40 T cblas_ctrsm_batch_strided_64_
000000000037ce40 T CBLAS_CTRSM_BATCH_STRIDED_64
000000000037d500 T cblas_ctrsm_oop
000000000037d500 T cblas_ctrsm_oop_
000000000037d500 T CBLAS_CTRSM_OOP
000000000037d470 T cblas_ctrsm_oop_64
000000000037d470 T cblas_ctrsm_oop_64_
000000000037d470 T CBLAS_CTRSM_OOP_64
000000000037d860 T cblas_ctrsv
000000000037d860 T cblas_ctrsv_
000000000037d860 T CBLAS_CTRSV
000000000037d7d0 T cblas_ctrsv_64
000000000037d7d0 T cblas_ctrsv_64_
000000000037d7d0 T CBLAS_CTRSV_64
000000000037dba0 T cblas_dasum
000000000037dba0 T cblas_dasum_
000000000037dba0 T CBLAS_DASUM
000000000037db30 T cblas_dasum_64
000000000037db30 T cblas_dasum_64_
000000000037db30 T CBLAS_DASUM_64
000000000037def0 T cblas_daxpby
000000000037def0 T cblas_daxpby_
000000000037def0 T CBLAS_DAXPBY
000000000037de50 T cblas_daxpby_64
000000000037de50 T cblas_daxpby_64_
000000000037de50 T CBLAS_DAXPBY_64
000000000037ea00 T cblas_daxpy
000000000037ea00 T cblas_daxpy_
000000000037ea00 T CBLAS_DAXPY
000000000037e250 T cblas_daxpy_64
000000000037e250 T cblas_daxpy_64_
000000000037e250 T CBLAS_DAXPY_64
000000000037e370 T cblas_daxpy_batch
000000000037e370 T cblas_daxpy_batch_
000000000037e370 T CBLAS_DAXPY_BATCH
000000000037e2e0 T cblas_daxpy_batch_64
000000000037e2e0 T cblas_daxpy_batch_64_
000000000037e2e0 T CBLAS_DAXPY_BATCH_64
000000000037e6e0 T cblas_daxpy_batch_strided
000000000037e6e0 T cblas_daxpy_batch_strided_
000000000037e6e0 T CBLAS_DAXPY_BATCH_STRIDED
000000000037e640 T cblas_daxpy_batch_strided_64
000000000037e640 T cblas_daxpy_batch_strided_64_
000000000037e640 T CBLAS_DAXPY_BATCH_STRIDED_64
000000000037ed90 T cblas_daxpyi
000000000037ed90 T cblas_daxpyi_
000000000037ed90 T CBLAS_DAXPYI
000000000037ed10 T cblas_daxpyi_64
000000000037ed10 T cblas_daxpyi_64_
000000000037ed10 T CBLAS_DAXPYI_64
000000000037ee10 T cblas_dcabs1
000000000037ee10 T cblas_dcabs1_
000000000037ee10 T CBLAS_DCABS1
000000000037f5b0 T cblas_dcopy
000000000037f5b0 T cblas_dcopy_
000000000037f5b0 T CBLAS_DCOPY
000000000037ee70 T cblas_dcopy_64
000000000037ee70 T cblas_dcopy_64_
000000000037ee70 T CBLAS_DCOPY_64
000000000037ef80 T cblas_dcopy_batch
000000000037ef80 T cblas_dcopy_batch_
000000000037ef80 T CBLAS_DCOPY_BATCH
000000000037eef0 T cblas_dcopy_batch_64
000000000037eef0 T cblas_dcopy_batch_64_
000000000037eef0 T CBLAS_DCOPY_BATCH_64
000000000037f2e0 T cblas_dcopy_batch_strided
000000000037f2e0 T cblas_dcopy_batch_strided_
000000000037f2e0 T CBLAS_DCOPY_BATCH_STRIDED
000000000037f250 T cblas_dcopy_batch_strided_64
000000000037f250 T cblas_dcopy_batch_strided_64_
000000000037f250 T CBLAS_DCOPY_BATCH_STRIDED_64
000000000037f900 T cblas_ddgmm_batch
000000000037f900 T cblas_ddgmm_batch_
000000000037f900 T CBLAS_DDGMM_BATCH
000000000037f870 T cblas_ddgmm_batch_64
000000000037f870 T cblas_ddgmm_batch_64_
000000000037f870 T CBLAS_DDGMM_BATCH_64
000000000037fc60 T cblas_ddgmm_batch_strided
000000000037fc60 T cblas_ddgmm_batch_strided_
000000000037fc60 T CBLAS_DDGMM_BATCH_STRIDED
000000000037fbd0 T cblas_ddgmm_batch_strided_64
000000000037fbd0 T cblas_ddgmm_batch_strided_64_
000000000037fbd0 T CBLAS_DDGMM_BATCH_STRIDED_64
000000000037ffc0 T cblas_ddot
000000000037ffc0 T cblas_ddot_
000000000037ffc0 T CBLAS_DDOT
000000000037ff30 T cblas_ddot_64
000000000037ff30 T cblas_ddot_64_
000000000037ff30 T CBLAS_DDOT_64
0000000000380360 T cblas_ddoti
0000000000380360 T cblas_ddoti_
0000000000380360 T CBLAS_DDOTI
00000000003802d0 T cblas_ddoti_64
00000000003802d0 T cblas_ddoti_64_
00000000003802d0 T CBLAS_DDOTI_64
00000000003804a0 T cblas_dgbmv
00000000003804a0 T cblas_dgbmv_
00000000003804a0 T CBLAS_DGBMV
00000000003803f0 T cblas_dgbmv_64
00000000003803f0 T cblas_dgbmv_64_
00000000003803f0 T CBLAS_DGBMV_64
0000000000381040 T cblas_dgemm
0000000000381040 T cblas_dgemm_
0000000000381040 T CBLAS_DGEMM
0000000000380810 T cblas_dgemm_64
0000000000380810 T cblas_dgemm_64_
0000000000380810 T CBLAS_DGEMM_64
0000000000380950 T cblas_dgemm_batch
0000000000380950 T cblas_dgemm_batch_
0000000000380950 T CBLAS_DGEMM_BATCH
00000000003808c0 T cblas_dgemm_batch_64
00000000003808c0 T cblas_dgemm_batch_64_
00000000003808c0 T CBLAS_DGEMM_BATCH_64
0000000000380cd0 T cblas_dgemm_batch_strided
0000000000380cd0 T cblas_dgemm_batch_strided_
0000000000380cd0 T CBLAS_DGEMM_BATCH_STRIDED
0000000000380c20 T cblas_dgemm_batch_strided_64
0000000000380c20 T cblas_dgemm_batch_strided_64_
0000000000380c20 T CBLAS_DGEMM_BATCH_STRIDED_64
0000000000381180 T cblas_dgemm_compute
0000000000381180 T cblas_dgemm_compute_
0000000000381180 T CBLAS_DGEMM_COMPUTE
00000000003810f0 T cblas_dgemm_compute_64
00000000003810f0 T cblas_dgemm_compute_64_
00000000003810f0 T CBLAS_DGEMM_COMPUTE_64
0000000000381560 T cblas_dgemm_pack
0000000000381560 T cblas_dgemm_pack_
0000000000381560 T CBLAS_DGEMM_PACK
00000000003814d0 T cblas_dgemm_pack_64
00000000003814d0 T cblas_dgemm_pack_64_
00000000003814d0 T CBLAS_DGEMM_PACK_64
0000000000381670 T cblas_dgemm_pack_get_size
0000000000381670 T cblas_dgemm_pack_get_size_
0000000000381670 T CBLAS_DGEMM_PACK_GET_SIZE
00000000003815f0 T cblas_dgemm_pack_get_size_64
00000000003815f0 T cblas_dgemm_pack_get_size_64_
00000000003815f0 T CBLAS_DGEMM_PACK_GET_SIZE_64
00000000003817a0 T cblas_dgemmt
00000000003817a0 T cblas_dgemmt_
00000000003817a0 T CBLAS_DGEMMT
00000000003816f0 T cblas_dgemmt_64
00000000003816f0 T cblas_dgemmt_64_
00000000003816f0 T CBLAS_DGEMMT_64
0000000000382340 T cblas_dgemv
0000000000382340 T cblas_dgemv_
0000000000382340 T CBLAS_DGEMV
0000000000381b10 T cblas_dgemv_64
0000000000381b10 T cblas_dgemv_64_
0000000000381b10 T CBLAS_DGEMV_64
0000000000381c50 T cblas_dgemv_batch
0000000000381c50 T cblas_dgemv_batch_
0000000000381c50 T CBLAS_DGEMV_BATCH
0000000000381bc0 T cblas_dgemv_batch_64
0000000000381bc0 T cblas_dgemv_batch_64_
0000000000381bc0 T CBLAS_DGEMV_BATCH_64
0000000000381fd0 T cblas_dgemv_batch_strided
0000000000381fd0 T cblas_dgemv_batch_strided_
0000000000381fd0 T CBLAS_DGEMV_BATCH_STRIDED
0000000000381f20 T cblas_dgemv_batch_strided_64
0000000000381f20 T cblas_dgemv_batch_strided_64_
0000000000381f20 T CBLAS_DGEMV_BATCH_STRIDED_64
0000000000382740 T cblas_dger
0000000000382740 T cblas_dger_
0000000000382740 T CBLAS_DGER
00000000003826b0 T cblas_dger_64
00000000003826b0 T cblas_dger_64_
00000000003826b0 T CBLAS_DGER_64
0000000000382bd0 T cblas_dgthr
0000000000382bd0 T cblas_dgthr_
0000000000382bd0 T CBLAS_DGTHR
0000000000382b50 T cblas_dgthr_64
0000000000382b50 T cblas_dgthr_64_
0000000000382b50 T CBLAS_DGTHR_64
0000000000382cd0 T cblas_dgthrz
0000000000382cd0 T cblas_dgthrz_
0000000000382cd0 T CBLAS_DGTHRZ
0000000000382c50 T cblas_dgthrz_64
0000000000382c50 T cblas_dgthrz_64_
0000000000382c50 T CBLAS_DGTHRZ_64
0000000000383300 T cblas_dnrm2
0000000000383300 T cblas_dnrm2_
0000000000383300 T CBLAS_DNRM2
0000000000383290 T cblas_dnrm2_64
0000000000383290 T cblas_dnrm2_64_
0000000000383290 T CBLAS_DNRM2_64
0000000000383e90 T cblas_drot
0000000000383e90 T cblas_drot_
0000000000383e90 T CBLAS_DROT
0000000000383df0 T cblas_drot_64
0000000000383df0 T cblas_drot_64_
0000000000383df0 T CBLAS_DROT_64
00000000003841f0 T cblas_drotg
00000000003841f0 T cblas_drotg_
00000000003841f0 T CBLAS_DROTG
0000000000384500 T cblas_droti
0000000000384500 T cblas_droti_
0000000000384500 T CBLAS_DROTI
0000000000384470 T cblas_droti_64
0000000000384470 T cblas_droti_64_
0000000000384470 T CBLAS_DROTI_64
0000000000384620 T cblas_drotm
0000000000384620 T cblas_drotm_
0000000000384620 T CBLAS_DROTM
0000000000384590 T cblas_drotm_64
0000000000384590 T cblas_drotm_64_
0000000000384590 T CBLAS_DROTM_64
00000000003848f0 T cblas_drotmg
00000000003848f0 T cblas_drotmg_
00000000003848f0 T CBLAS_DROTMG
0000000000384ca0 T cblas_dsbmv
0000000000384ca0 T cblas_dsbmv_
0000000000384ca0 T CBLAS_DSBMV
0000000000384bf0 T cblas_dsbmv_64
0000000000384bf0 T cblas_dsbmv_64_
0000000000384bf0 T CBLAS_DSBMV_64
0000000000385090 T cblas_dscal
0000000000385090 T cblas_dscal_
0000000000385090 T CBLAS_DSCAL
0000000000385010 T cblas_dscal_64
0000000000385010 T cblas_dscal_64_
0000000000385010 T CBLAS_DSCAL_64
00000000003853b0 T cblas_dsctr
00000000003853b0 T cblas_dsctr_
00000000003853b0 T CBLAS_DSCTR
0000000000385330 T cblas_dsctr_64
0000000000385330 T cblas_dsctr_64_
0000000000385330 T CBLAS_DSCTR_64
00000000003854c0 T cblas_dsdot
00000000003854c0 T cblas_dsdot_
00000000003854c0 T CBLAS_DSDOT
0000000000385430 T cblas_dsdot_64
0000000000385430 T cblas_dsdot_64_
0000000000385430 T CBLAS_DSDOT_64
0000000000385880 T cblas_dspmv
0000000000385880 T cblas_dspmv_
0000000000385880 T CBLAS_DSPMV
00000000003857d0 T cblas_dspmv_64
00000000003857d0 T cblas_dspmv_64_
